club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,normalized_name
Hamburger SV,Aaron Hunt,28,Germany,Attacking Midfield,AM,,VfL Wolfsburg,Germany,3000000,in,summer,1 Bundesliga,2015,FALSE,,aaron hunt
Everton FC,Aaron Lennon,28,England,Right Winger,RW,,Tottenham,England,6000000,in,summer,Premier League,2015,FALSE,,aaron lennon
US Palermo,Abdelhamid El Kaoutari,25,Morocco,Centre-Back,CB,,Montpellier,France,2000000,in,summer,Serie A,2015,FALSE,,abdelhamid el kaoutari
Club Brugge KV,Abdoulay Diaby,24,Mali,Right Winger,RW,1200000,LOSC Lille,France,2000000,in,summer,Jupiler Pro League,2015,FALSE,,abdoulay diaby
Watford FC,Abdoulaye Doucouré,23,Mali,Central Midfield,CM,12000000,Stade Rennais,France,10600000,in,winter,Premier League,2015,FALSE,,abdoulaye doucoure
Chelsea FC,Abdul Rahman Baba,21,Ghana,Left-Back,LB,1200000,FC Augsburg,Germany,26000000,in,summer,Premier League,2015,FALSE,,abdul rahman baba
Watford FC,Adalberto Peñaranda,18,Venezuela,Left Winger,LW,,Udinese Calcio,Italy,10600000,in,winter,Premier League,2015,FALSE,,adalberto penaranda
Sunderland AFC,Adam Matthews,23,Wales,Right-Back,RB,,Celtic,Scotland,2800000,in,summer,Premier League,2015,FALSE,,adam matthews
AS Monaco,Adama Traoré,20,Mali,Attacking Midfield,AM,3000000,LOSC Lille,France,14000000,in,summer,Ligue 1,2015,FALSE,,adama traore
Aston Villa,Adama Traoré,19,Spain,Right Winger,RW,10000000,Barcelona B,Spain,10000000,in,summer,Premier League,2015,FALSE,,adama traore
Valencia CF,Aderllan Santos,26,Brazil,Centre-Back,CB,,SC Braga,Portugal,9500000,in,summer,Laliga,2015,FALSE,,aderllan santos
Sevilla FC,Adil Rami,29,France,Centre-Back,CB,,AC Milan,Italy,2500000,in,summer,Laliga,2015,FALSE,,adil rami
Bayer 04 Leverkusen,Admir Mehmedi,24,Switzerland,Second Striker,SS,,SC Freiburg,Germany,8000000,in,summer,1 Bundesliga,2015,FALSE,,admir mehmedi
Málaga CF,Adnane Tighadouini,22,Morocco,Left Winger,LW,,NAC Breda,Netherlands,1200000,in,summer,Laliga,2015,FALSE,,adnane tighadouini
Torino FC,Afriyie Acquah,23,Ghana,Central Midfield,CM,,TSG Hoffenheim,Germany,3100000,in,summer,Serie A,2015,FALSE,,afriyie acquah
Juventus FC,Alberto Brignoli,23,Italy,Goalkeeper,GK,1800000,Ternana,Italy,2350000,in,summer,Serie A,2015,FALSE,,alberto brignoli
SSC Napoli,Alberto Grassi,20,Italy,Defensive Midfield,DM,2000000,Atalanta BC,Italy,8000000,in,winter,Serie A,2015,FALSE,,alberto grassi
Swansea City,Alberto Paloschi,26,Italy,Centre-Forward,CF,,Chievo Verona,Italy,8800000,in,winter,Premier League,2015,FALSE,,alberto paloschi
FC Augsburg,Albian Ajeti,18,Switzerland,Centre-Forward,CF,1500000,FC Basel,Switzerland,1000000,in,winter,1 Bundesliga,2015,FALSE,,albian ajeti
Hamburger SV,Albin Ekdal,25,Sweden,Defensive Midfield,DM,,Cagliari Calcio,Italy,4500000,in,summer,1 Bundesliga,2015,FALSE,,albin ekdal
FC Barcelona,Aleix Vidal,25,Spain,Right Winger,RW,1000000,Sevilla FC,Spain,17000000,in,summer,Laliga,2015,FALSE,,aleix vidal
SL Benfica,Alejandro Grimaldo,20,Spain,Left-Back,LB,25000000,Barcelona B,Spain,2100000,in,winter,Liga Portugal,2015,FALSE,,alejandro grimaldo
Newcastle United,Aleksandar Mitrovic,20,Serbia,Centre-Forward,CF,28000000,RSC Anderlecht,Belgium,18500000,in,summer,Premier League,2015,FALSE,,aleksandar mitrovic
Zenit St. Petersburg,Aleksandr Kokorin,24,Russia,Second Striker,SS,1000000,Dinamo Moscow,Russia,2000000,in,winter,Premier Liga,2015,FALSE,,aleksandr kokorin
FC Schalke 04,Alessandro Schöpf,21,Austria,Attacking Midfield,AM,1800000,1.FC Nuremberg,Germany,5000000,in,winter,1 Bundesliga,2015,FALSE,,alessandro schopf
AC Milan,Alessio Romagnoli,20,Italy,Centre-Back,CB,18000000,AS Roma,Italy,25000000,in,summer,Serie A,2015,FALSE,,alessio romagnoli
Crystal Palace,Alex McCarthy,25,England,Goalkeeper,GK,,QPR,England,4900000,in,summer,Premier League,2015,FALSE,,alex mccarthy
Juventus FC,Alex Sandro,24,Brazil,Left-Back,LB,3000000,FC Porto,Portugal,28000000,in,summer,Serie A,2015,FALSE,,alex sandro
AS Saint-Étienne,Alexander Søderlund,28,Norway,Centre-Forward,CF,,Rosenborg,Norway,2000000,in,winter,Ligue 1,2015,FALSE,,alexander soderlund
Besiktas JK,Alexis Ruano,30,Spain,Centre-Back,CB,,Getafe,Spain,1100000,in,winter,Super Lig,2015,FALSE,,alexis ruano
UC Sampdoria,Alfred Duncan,22,Ghana,Central Midfield,CM,4000000,Inter,Italy,2600000,in,summer,Serie A,2015,FALSE,,alfred duncan
UD Las Palmas,Alfredo Ortuño,24,Spain,Centre-Forward,CF,,Granada CF,Spain,1000000,in,summer,Laliga,2015,FALSE,,alfredo ortuno
Udinese Calcio,Ali Adnan,23,Iraq,Left-Back,LB,,C. Rizespor,Turkey,2200000,in,summer,Serie A,2015,FALSE,,ali adnan
AZ Alkmaar,Alireza Jahanbakhsh,21,Iran,Right Winger,RW,4000000,NEC Nijmegen,Netherlands,1800000,in,summer,Eredivisie,2015,FALSE,,alireza jahanbakhsh
SSC Napoli,Allan,24,Brazil,Defensive Midfield,DM,5500000,Udinese Calcio,Italy,11500000,in,summer,Serie A,2015,FALSE,,allan
AS Monaco,Allan Saint-Maximin,18,France,Left Winger,LW,24000000,Saint-Étienne,France,5000000,in,summer,Ligue 1,2015,FALSE,,allan saint-maximin
Trabzonspor,Alper Uludağ,24,Turkey,Left-Back,LB,,Kayserispor,Turkey,1000000,in,summer,Super Lig,2015,FALSE,,alper uludag
Valencia CF,Álvaro Negredo,29,Spain,Centre-Forward,CF,1000000,Man City,England,28000000,in,summer,Laliga,2015,FALSE,,alvaro negredo
Ajax Amsterdam,Amin Younes,21,Germany,Left Winger,LW,,Bor. M'gladbach,Germany,2500000,in,summer,Eredivisie,2015,FALSE,,amin younes
FC Basel 1893,Andraz Sporar,21,Slovenia,Centre-Forward,CF,5000000,NK Olimpija,Slovenia,3800000,in,winter,Super League,2015,FALSE,,andraz sporar
FC Porto,André André,25,Portugal,Central Midfield,CM,,Vit. Guimarães,Portugal,1500000,in,summer,Liga Portugal,2015,FALSE,,andre andre
Valencia CF,André Gomes,21,Portugal,Central Midfield,CM,16000000,Benfica,Portugal,20000000,in,summer,Laliga,2015,FALSE,,andre gomes
Torino FC,Andrea Belotti,21,Italy,Centre-Forward,CF,8000000,US Palermo,Italy,8400000,in,summer,Serie A,2015,FALSE,,andrea belotti
AC Milan,Andrea Bertolacci,24,Italy,Central Midfield,CM,,AS Roma,Italy,21000000,in,summer,Serie A,2015,FALSE,,andrea bertolacci
AS Roma,Andrea Bertolacci,24,Italy,Central Midfield,CM,,Genoa,Italy,8500000,in,summer,Serie A,2015,FALSE,,andrea bertolacci
Atalanta BC,Andrea Petagna,20,Italy,Centre-Forward,CF,7500000,AC Milan,Italy,1000000,in,winter,Serie A,2015,FALSE,,andrea petagna
Besiktas JK,Andreas Beck,28,Germany,Right-Back,RB,,TSG Hoffenheim,Germany,1750000,in,summer,Super Lig,2015,FALSE,,andreas beck
PSV Eindhoven,Andrés Guardado,28,Mexico,Central Midfield,CM,1500000,Valencia,Spain,2800000,in,summer,Eredivisie,2015,FALSE,,andres guardado
ACF Fiorentina,Andrés Schetino,21,Uruguay,Defensive Midfield,DM,,CA Fénix,Uruguay,3500000,in,winter,Serie A,2015,FALSE,,andres schetino
Juventus FC,Andrés Tello,18,Colombia,Central Midfield,CM,,Envigado,Colombia,1600000,in,summer,Serie A,2015,FALSE,,andres tello
Udinese Calcio,Andrija Balic,18,Croatia,Central Midfield,CM,,Hajduk Split,Croatia,3000000,in,winter,Serie A,2015,FALSE,,andrija balic
Newcastle United,Andros Townsend,24,England,Right Winger,RW,1500000,Tottenham,England,15700000,in,winter,Premier League,2015,FALSE,,andros townsend
SM Caen,Andy Delort,23,Algeria,Centre-Forward,CF,6000000,Wigan,England,2000000,in,summer,Ligue 1,2015,FALSE,,andy delort
Paris Saint-Germain,Ángel Di María,27,Argentina,Right Winger,RW,8000000,Man Utd,England,63000000,in,summer,Ligue 1,2015,FALSE,,angel di maria
Levante UD,Ángel Trujillo,27,Spain,Centre-Back,CB,,UD Almería,Spain,1000000,in,summer,Laliga,2015,FALSE,,angel trujillo
GNK Dinamo Zagreb,Ángelo Henríquez,21,Chile,Centre-Forward,CF,,Man Utd,England,1670000,in,summer,Supersport Hnl,2015,FALSE,,angelo henriquez
West Ham United,Angelo Ogbonna,27,Italy,Centre-Back,CB,,Juventus,Italy,11000000,in,summer,Premier League,2015,FALSE,,angelo ogbonna
Manchester United,Anthony Martial,19,France,Centre-Forward,CF,15000000,Monaco,France,60000000,in,summer,Premier League,2015,FALSE,,anthony martial
1.FC Köln,Anthony Modeste,27,France,Centre-Forward,CF,,TSG Hoffenheim,Germany,4500000,in,summer,1 Bundesliga,2015,FALSE,,anthony modeste
Bologna FC 1909,Anthony Mounier,27,France,Left Winger,LW,,Montpellier,France,2000000,in,summer,Serie A,2015,FALSE,,anthony mounier
SV Werder Bremen,Anthony Ujah,24,Nigeria,Centre-Forward,CF,,1.FC Köln,Germany,4500000,in,summer,1 Bundesliga,2015,FALSE,,anthony ujah
Besiktas JK,Aras Özbiliz,25,Armenia,Right Winger,RW,,Spartak Moscow,Russia,1300000,in,winter,Super Lig,2015,FALSE,,aras ozbiliz
SC Heerenveen,Arbër Zeneli,20,Kosovo,Left Winger,LW,3000000,Elfsborg,Sweden,1950000,in,winter,Eredivisie,2015,FALSE,,arber zeneli
FC Barcelona,Arda Turan,28,Turkey,Left Winger,LW,,Atlético Madrid,Spain,34000000,in,summer,Laliga,2015,FALSE,,arda turan
Ajax Amsterdam,Arkadiusz Milik,21,Poland,Centre-Forward,CF,8000000,B. Leverkusen,Germany,2800000,in,summer,Eredivisie,2015,FALSE,,arkadiusz milik
SV Werder Bremen,Aron Jóhannsson,24,United States,Centre-Forward,CF,,AZ Alkmaar,Netherlands,4200000,in,summer,1 Bundesliga,2015,FALSE,,aron johannsson
Bayern Munich,Arturo Vidal,28,Chile,Central Midfield,CM,,Juventus,Italy,39250000,in,summer,1 Bundesliga,2015,FALSE,,arturo vidal
Real Sociedad,Asier Illarramendi,25,Spain,Defensive Midfield,DM,2000000,Real Madrid,Spain,16000000,in,summer,Laliga,2015,FALSE,,asier illarramendi
Chelsea FC,Asmir Begovic,28,Bosnia Herzegovina,Goalkeeper,GK,,Stoke City,England,11000000,in,summer,Premier League,2015,FALSE,,asmir begovic
Atlético de Madrid,Augusto Fernández,29,Argentina,Central Midfield,CM,,Celta de Vigo,Spain,4000000,in,winter,Laliga,2015,FALSE,,augusto fernandez
Valencia CF,Aymen Abdennour,26,Tunisia,Centre-Back,CB,,Monaco,France,22000000,in,summer,Laliga,2015,FALSE,,aymen abdennour
Bursaspor,Balázs Dzsudzsák,28,Hungary,Attacking Midfield,AM,,Dinamo Moscow,Russia,1600000,in,summer,Super Lig,2015,FALSE,,balazs dzsudzsak
LOSC Lille,Baptiste Guillaume,20,Belgium,Centre-Forward,CF,1200000,Lens,France,4000000,in,summer,Ligue 1,2015,FALSE,,baptiste guillaume
Manchester United,Bastian Schweinsteiger,30,Germany,Central Midfield,CM,,Bayern Munich,Germany,9000000,in,summer,Premier League,2015,FALSE,,bastian schweinsteiger
Norwich City,Ben Godfrey,18,England,Centre-Back,CB,13000000,York City,England,2950000,in,winter,Premier League,2015,FALSE,,ben godfrey
AZ Alkmaar,Ben Rienstra,25,Netherlands,Central Midfield,CM,,PEC Zwolle,Netherlands,1500000,in,summer,Eredivisie,2015,FALSE,,ben rienstra
AFC Bournemouth,Benik Afobe,22,DR Congo,Centre-Forward,CF,1200000,Wolves,England,13300000,in,winter,Premier League,2015,FALSE,,benik afobe
FC Lorient,Benjamin Moukandjo,26,Cameroon,Centre-Forward,CF,,Stade Reims,France,1500000,in,summer,Ligue 1,2015,FALSE,,benjamin moukandjo
Paris Saint-Germain,Benjamin Stambouli,24,France,Defensive Midfield,DM,1000000,Tottenham,England,8600000,in,summer,Ligue 1,2015,FALSE,,benjamin stambouli
FC Copenhagen,Benjamin Verbic,21,Slovenia,Left Winger,LW,2500000,NK Celje,Slovenia,1200000,in,summer,Superliga,2015,FALSE,,benjamin verbic
Atlético de Madrid,Bernard Mensah,20,Ghana,Attacking Midfield,AM,2400000,Vit. Guimarães,Portugal,6000000,in,summer,Laliga,2015,FALSE,,bernard mensah
FC Basel 1893,Birkir Bjarnason,27,Iceland,Central Midfield,CM,,Pescara,Italy,2000000,in,summer,Super League,2015,FALSE,,birkir bjarnason
AS Monaco,Boschilia,19,Brazil,Attacking Midfield,AM,1700000,São Paulo,Brazil,9000000,in,summer,Ligue 1,2015,FALSE,,boschilia
Olympique Marseille,Bouna Sarr,23,Senegal,Right-Back,RB,2000000,FC Metz,France,2000000,in,summer,Ligue 1,2015,FALSE,,bouna sarr
Olympiacos Piraeus,Brown Ideye,26,Nigeria,Centre-Forward,CF,,West Brom,England,5420000,in,summer,Super League 1,2015,FALSE,,brown ideye
VfL Wolfsburg,Bruno Henrique,25,Brazil,Left Winger,LW,2500000,Goiás,Brazil,4500000,in,winter,1 Bundesliga,2015,FALSE,,bruno henrique
Sporting CP,Bryan Ruiz,29,Costa Rica,Attacking Midfield,AM,,Fulham,England,1320000,in,summer,Liga Portugal,2015,FALSE,,bryan ruiz
VfL Wolfsburg,Carlos Ascues,23,Peru,Centre-Back,CB,,FBC Melgar,Peru,1500000,in,summer,1 Bundesliga,2015,FALSE,,carlos ascues
AC Milan,Carlos Bacca,28,Colombia,Centre-Forward,CF,,Sevilla FC,Spain,33300000,in,summer,Serie A,2015,FALSE,,carlos bacca
Real Madrid,Casemiro,23,Brazil,Defensive Midfield,DM,40000000,FC Porto,Portugal,15000000,in,summer,Laliga,2015,FALSE,,casemiro
FC Porto,Casemiro,23,Brazil,Defensive Midfield,DM,40000000,Real Madrid,Spain,7500000,in,summer,Liga Portugal,2015,FALSE,,casemiro
Villarreal CF,Cédric Bakambu,24,DR Congo,Centre-Forward,CF,3400000,Bursaspor,Turkey,7500000,in,summer,Laliga,2015,FALSE,,cedric bakambu
Southampton FC,Cédric Soares,23,Portugal,Right-Back,RB,3000000,Sporting CP,Portugal,7000000,in,summer,Premier League,2015,FALSE,,cedric soares
Newcastle United,Chancel Mbemba,20,DR Congo,Centre-Back,CB,15000000,RSC Anderlecht,Belgium,12000000,in,summer,Premier League,2015,FALSE,,chancel mbemba
Bayer 04 Leverkusen,Charles Aránguiz,26,Chile,Central Midfield,CM,3000000,Internacional,Brazil,13000000,in,summer,1 Bundesliga,2015,FALSE,,charles aranguiz
Southampton FC,Charlie Austin,26,England,Centre-Forward,CF,,QPR,England,5200000,in,winter,Premier League,2015,FALSE,,charlie austin
Hannover 96,Charlison Benschop,25,Curacao,Centre-Forward,CF,,F. Düsseldorf,Germany,1500000,in,summer,1 Bundesliga,2015,FALSE,,charlison benschop
Bayer 04 Leverkusen,Chicharito,27,Mexico,Centre-Forward,CF,1000000,Man Utd,England,12000000,in,summer,1 Bundesliga,2015,FALSE,,chicharito
Liverpool FC,Christian Benteke,24,Belgium,Centre-Forward,CF,2500000,Aston Villa,England,46500000,in,summer,Premier League,2015,FALSE,,christian benteke
FK Rostov,Christian Noboa,30,Ecuador,Central Midfield,CM,1200000,PAOK Salonika,Greece,1500000,in,summer,Premier Liga,2015,FALSE,,christian noboa
Red Bull Salzburg,Cican Stankovic,22,Austria,Goalkeeper,GK,1500000,Grödig,Austria,1250000,in,summer,Bundesliga,2015,FALSE,,cican stankovic
Sevilla FC,Ciro Immobile,25,Italy,Centre-Forward,CF,15000000,Bor. Dortmund,Germany,11000000,in,winter,Laliga,2015,FALSE,,ciro immobile
Celta de Vigo,Claudio Beauvue,27,Guadeloupe,Centre-Forward,CF,,Olympique Lyon,France,5000000,in,winter,Laliga,2015,FALSE,,claudio beauvue
Olympique Lyon,Claudio Beauvue,27,Guadeloupe,Centre-Forward,CF,,Guingamp,France,6000000,in,summer,Ligue 1,2015,FALSE,,claudio beauvue
Tottenham Hotspur,Clinton N'Jie,22,Cameroon,Right Winger,RW,1200000,Olympique Lyon,France,14100000,in,summer,Premier League,2015,FALSE,,clinton n'jie
Crystal Palace,Connor Wickham,22,England,Centre-Forward,CF,,Sunderland,England,10000000,in,summer,Premier League,2015,FALSE,,connor wickham
AS Monaco,Corentin Jean,19,France,Centre-Forward,CF,1000000,Troyes,France,4000000,in,summer,Ligue 1,2015,FALSE,,corentin jean
Real Betis Balompié,Cristiano Piccini,22,Italy,Centre-Back,CB,,Fiorentina,Italy,1500000,in,summer,Laliga,2015,FALSE,,cristiano piccini
Southampton FC,Cuco Martina,25,Curacao,Centre-Back,CB,,Twente FC,Netherlands,1500000,in,summer,Premier League,2015,FALSE,,cuco martina
Trabzonspor,Dame N'Doye,30,Senegal,Centre-Forward,CF,,Hull City,England,3150000,in,summer,Super Lig,2015,FALSE,,dame n'doye
Leicester City,Daniel Amartey,21,Ghana,Centre-Back,CB,12000000,FC Copenhagen,Denmark,6600000,in,winter,Premier League,2015,FALSE,,daniel amartey
FC Basel 1893,Daniel Höegh,24,Denmark,Centre-Back,CB,,Odense BK,Denmark,1500000,in,summer,Super League,2015,FALSE,,daniel hoegh
Celta de Vigo,Daniel Wass,26,Denmark,Central Midfield,CM,1500000,Évian,France,3000000,in,summer,Laliga,2015,FALSE,,daniel wass
Torino FC,Daniele Baselli,23,Italy,Central Midfield,CM,,Atalanta BC,Italy,6000000,in,summer,Serie A,2015,FALSE,,daniele baselli
Real Madrid,Danilo,23,Brazil,Centre-Back,CB,15000000,FC Porto,Portugal,31500000,in,summer,Laliga,2015,FALSE,,danilo
Torino FC,Danilo Avelar,26,Brazil,Left-Back,LB,,Cagliari Calcio,Italy,2000000,in,summer,Serie A,2015,FALSE,,danilo avelar
FC Porto,Danilo Pereira,23,Portugal,Defensive Midfield,DM,10000000,Marítimo,Portugal,4500000,in,summer,Liga Portugal,2015,FALSE,,danilo pereira
Liverpool FC,Danny Ings,22,England,Centre-Forward,CF,12000000,Burnley,England,8300000,in,summer,Premier League,2015,FALSE,,danny ings
VfL Wolfsburg,Dante,31,Brazil,Centre-Back,CB,,Bayern Munich,Germany,4500000,in,summer,1 Bundesliga,2015,FALSE,,dante
FC Ingolstadt 04,Darío Lezcano,25,Paraguay,Centre-Forward,CF,,FC Luzern,Switzerland,2500000,in,winter,1 Bundesliga,2015,FALSE,,dario lezcano
Standard Liège,Darwin Andrade,24,Colombia,Left-Back,LB,,Újpest FC,Hungary,2000000,in,summer,Jupiler Pro League,2015,FALSE,,darwin andrade
Eintracht Frankfurt,David Abraham,28,Argentina,Centre-Back,CB,,TSG Hoffenheim,Germany,1500000,in,summer,1 Bundesliga,2015,FALSE,,david abraham
Real Sociedad,David Concha,18,Spain,Right Winger,RW,,Racing,Spain,1000000,in,summer,Laliga,2015,FALSE,,david concha
Kasimpasa,David Pavelka,24,Czech Republic,Central Midfield,CM,,Slovan Liberec,Czech Republic,1500000,in,winter,Super Lig,2015,FALSE,,david pavelka
Inter Milan,Davide Santon,24,Italy,Left-Back,LB,,Newcastle,England,3700000,in,summer,Serie A,2015,FALSE,,davide santon
Torino FC,Davide Zappacosta,23,Italy,Right Midfield,RM,7000000,Atalanta BC,Italy,4300000,in,summer,Serie A,2015,FALSE,,davide zappacosta
PSV Eindhoven,Davy Pröpper,23,Netherlands,Central Midfield,CM,,Vitesse,Netherlands,4500000,in,summer,Eredivisie,2015,FALSE,,davy propper
Red Bull Salzburg,Dayot Upamecano,16,France,Centre-Back,CB,60000000,VAFC U19,France,2200000,in,summer,Bundesliga,2015,FALSE,,dayot upamecano
Celtic FC,Dedryck Boyata,24,Belgium,Centre-Back,CB,1000000,Man City,England,2000000,in,summer,Scottish Premiership,2015,FALSE,,dedryck boyata
Celta de Vigo,Dejan Drazic,19,Serbia,Left Winger,LW,,OFK Beograd,Serbia,1200000,in,summer,Laliga,2015,FALSE,,dejan drazic
Leicester City,Demarai Gray,19,Jamaica,Left Winger,LW,12000000,Birmingham,England,5100000,in,winter,Premier League,2015,FALSE,,demarai gray
Villarreal CF,Denis Suárez,21,Spain,Attacking Midfield,AM,2500000,Barcelona,Spain,4000000,in,summer,Laliga,2015,FALSE,,denis suarez
Besiktas JK,Denys Boyko,27,Ukraine,Goalkeeper,GK,,Dnipro,Ukraine,3300000,in,winter,Super Lig,2015,FALSE,,denys boyko
Dynamo Kyiv,Derlis González,21,Paraguay,Second Striker,SS,3300000,FC Basel,Switzerland,9400000,in,summer,Premier Liga Ukr,2015,FALSE,,derlis gonzalez
Levante UD,Deyverson,24,Brazil,Centre-Forward,CF,1000000,Belenenses,Portugal,1800000,in,summer,Laliga,2015,FALSE,,deyverson
Genoa CFC,Diego Capel,27,Spain,Left Winger,LW,,Sporting CP,Portugal,1300000,in,summer,Serie A,2015,FALSE,,diego capel
Red Bull Salzburg,Dimitri Oberlin,17,Switzerland,Centre-Forward,CF,,FC Zürich,Switzerland,2000000,in,summer,Bundesliga,2015,FALSE,,dimitri oberlin
West Ham United,Dimitri Payet,28,France,Attacking Midfield,AM,1800000,Marseille,France,15000000,in,summer,Premier League,2015,FALSE,,dimitri payet
US Sassuolo,Domenico Berardi,20,Italy,Right Winger,RW,20000000,Juventus,Italy,10000000,in,summer,Serie A,2015,FALSE,,domenico berardi
FC Augsburg,Dominik Kohr,21,Germany,Defensive Midfield,DM,3500000,B. Leverkusen,Germany,1400000,in,summer,1 Bundesliga,2015,FALSE,,dominik kohr
1.FC Köln,Dominique Heintz,21,Germany,Centre-Back,CB,1200000,1.FC K'lautern,Germany,1500000,in,summer,1 Bundesliga,2015,FALSE,,dominique heintz
Trabzonspor,Douglas,27,Netherlands,Centre-Back,CB,,Dinamo Moscow,Russia,1500000,in,summer,Super Lig,2015,FALSE,,douglas
Bayern Munich,Douglas Costa,24,Brazil,Right Winger,RW,1500000,Shakhtar D.,Ukraine,30000000,in,summer,1 Bundesliga,2015,FALSE,,douglas costa
SS Lazio,Dusan Basta,30,Serbia,Right-Back,RB,,Udinese Calcio,Italy,10500000,in,summer,Serie A,2015,FALSE,,dusan basta
Swansea City,Éder,27,Portugal,Centre-Forward,CF,,SC Braga,Portugal,6700000,in,summer,Premier League,2015,FALSE,,eder
US Palermo,Edoardo Goldaniga,21,Italy,Centre-Back,CB,,Juventus,Italy,1500000,in,summer,Serie A,2015,FALSE,,edoardo goldaniga
TSG 1899 Hoffenheim,Eduardo Vargas,25,Chile,Centre-Forward,CF,1500000,SSC Napoli,Italy,6000000,in,summer,1 Bundesliga,2015,FALSE,,eduardo vargas
FC Ingolstadt 04,Elias Kachunga,23,DR Congo,Centre-Forward,CF,,SC Paderborn,Germany,1500000,in,summer,1 Bundesliga,2015,FALSE,,elias kachunga
